Language,SceneCode,Type,Name,Origin,Korean
Japanese,"scene_cp4_q3_s10,431",detail,フュリアス,<span class='scene-font-4'>ふぎゅッ！？</span>
Japanese,"scene_cp4_q3_s10,431",detail,ラカム,長々とうるせぇんだよ、てめぇは。
Japanese,"scene_cp4_q3_s10,431",detail,ラカム,どんな事情があろうと、<br>俺はもう決めたんだ……<br>この島を……街の連中を守るってな！！
Japanese,"scene_cp4_q3_s10,431",detail,ラカム,後戻りはしねぇ！<br>邪魔をするってんなら、<br>片っ端から俺が撃ち抜いてやるぜ！
Japanese,"scene_cp4_q3_s20,432",synopsis,,ティアマトの気配を探るが、なかなかその姿を見つけることができない。そんな中、ティアマトは地上ではなく空にいるのではないかとルリアが気づく。
Japanese,"scene_cp4_q3_s20,432",detail,カタリナ,グランサイファーの周りの兵士は、<br>これで粗方片付いたか？
Japanese,"scene_cp4_q3_s20,432",detail,ビィ,け、けどよぅ……<br>これだけ動き回っても、<br>やっぱりティアマトなんて居ないぜ？
Japanese,"scene_cp4_q3_s20,432",detail,ルリア,あ、あの……その……<br>も、もしかしてなんですけど……
Japanese,"scene_cp4_q3_s20,432",detail,ビィ,ん？ なんだよ、ルリア。
Japanese,"scene_cp4_q3_s20,432",detail,ルリア,もしかしてティアマトは……<br>上に居るんじゃないでしょうか……
Japanese,"scene_cp4_q3_s20,432",detail,ラカム,上……？<br>
Japanese,"scene_cp4_q3_s20,432",detail,,――……
Japanese,"scene_cp4_q3_s20,432",detail,ラカム,まさか、空か！？
Japanese,"scene_cp4_q3_s20,432",detail,カタリナ,確かめよう……<br>そのためにはまず、<br>帝国の兵士どもを蹴散らすぞ！！
Japanese,"scene_cp4_q4_s10,441",synopsis,,空高くに座するティアマトに万策尽きたかと思われたその時、ついにラカムは再び舵を握る。呼応する騎空艇グランサイファーは再びその翼に風を受け、<span>[ジータ]</span>一行をティアマトの元へと導く。
Japanese,"scene_cp4_q4_s10,441",detail,ルリア,ううん……やっぱり、<br>お空に居ると思います、ティアマト。
Japanese,"scene_cp4_q4_s10,441",detail,カタリナ,空か……まいったな……<br>まさかここで、手詰まりになるとは……
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,いいや……まだ手はあるぜ！<br>みんな！ グランサイファーに乗れ！
Japanese,"scene_cp4_q4_s10,441",detail,ビィ,乗ってみたけど……<br>なぁ、ラカム、<br>こいつ、飛べるのか？
Japanese,"scene_cp4_q4_s10,441",detail,ビィ,この艇ってラカムが前に……
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,ああ……<br>前に俺が、墜落させちまった艇だ……
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,だがな、<br>俺が空を怖がってただけで、<br>こいつはずっと待ち続けてたんだ。
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,それを感じる……いまならわかる。<br>こいつは飛べるぜ……どこだろうとな！
Japanese,"scene_cp4_q4_s10,441",detail,,<span class='scene-font-katari'>そう言って、</span><br><span class='scene-font-katari'>ラカムは力強く舵を手に取る。</span>
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,悪ぃ……待たせたな。<br>俺は戻って来たぜ……<br>だから導けよ……俺を、この空に！！
Japanese,"scene_cp4_q4_s10,441",detail,カタリナ,う、動き出した……！？
Japanese,"scene_cp4_q4_s10,441",detail,ルリア,やった！<br>ラカムさんの想いが通じたんですね！
Japanese,"scene_cp4_q4_s10,441",detail,ビィ,だな！<br>これでティアマトのとこまで、<br>一直線だぜ！
Japanese,"scene_cp4_q4_s10,441",detail,ラカム,さぁ、待ってろよ、ティアマト！！<br><span class='scene-font-place'>ポート・ブリーズ</span>住人の底力、<br>見せてやるぜ！！
Japanese,"scene_cp4_q4_s20,442",synopsis,,ついに<span>[ジータ]</span>一行は大星晶獣ティアマトと相対する。自我を失うまでに暴走したティアマトに、ラカムと<span>[ジータ]</span>達は最後の勝負を挑む。
Japanese,"scene_cp4_q4_s20,442",detail,ティアマト,ガ……グ……
Japanese,"scene_cp4_q4_s20,442",detail,カタリナ,これが……ティアマト……
Japanese,"scene_cp4_q4_s20,442",detail,ルリア,そんな……<br>自我もほとんど失ってる……<br>ここまで暴走が激しいなんて……
Japanese,"scene_cp4_q4_s20,442",detail,ルリア,このままじゃ……<br>とても私の力じゃ、どうにも……
Japanese,"scene_cp4_q4_s20,442",detail,ビィ,んなっ！？<br>じゃ、じゃあ、<br>オイラ達はどうすりゃ……
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,心配すんな……<br>嬢ちゃん、ティアマトがもう少し<br>大人しくなりゃいいのか？
Japanese,"scene_cp4_q4_s20,442",detail,ルリア,うん……<br>そうすれば、きっと……
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,なら、ここからは、<br>俺達の領分だな……
Japanese,"scene_cp4_q4_s20,442",detail,カタリナ,ラカム！ どうするつもりだ！？<br>危険だ！ ティアマトに近づくな！
Japanese,"scene_cp4_q4_s20,442",detail,ルリア,待ってカタリナ！<br>お願い……<br>ここはラカムさんに任せてあげて……！
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,なぁ、ティアマトよ……<br>聞いたぜ？ お前が暴走した理由。
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,<span class='scene-font-place'>ポート・ブリーズ</span>が<br>風に恵まれたのは、<br>全部お前のおかげだったんだってな。
Japanese,"scene_cp4_q4_s20,442",detail,ティアマト,風……ワタシ、ノ……
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,迷信か何かだと思ってたぜ……<br>悪ぃな……確かに俺達は、<br>お前に対する感謝が足りなかった。
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,けどな……そうは言っても、<br>俺が……俺達が抱えてるもんは、<br>そう簡単に捨てられやしねぇんだ。
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,守りてぇ……<br>守らなきゃいけねぇもんがある。<br>だから俺はもう退かねぇよ。
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,逃げねぇし、退かねぇ……<br>後ずさりもしねぇ……<br>お互い、譲れないんだろ？
Japanese,"scene_cp4_q4_s20,442",detail,ティアマト,…………
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,だったら……<br>ぶつかろうぜ、全力でさ。
Japanese,"scene_cp4_q4_s20,442",detail,ラカム,やろうぜ……正々堂々真剣勝負だ！<br>神だか星晶獣だか知らねぇが、<br>遠慮なんかすんじゃねぇぞ！！
Japanese,"scene_cp4_q4_s20,442",detail,ティアマト,<span class='scene-font-4'>グガ……ガアアァァアァッ！！</span>
Japanese,"scene_cp4_q4_s30,443",synopsis,,ティアマトを治めた<span>[ジータ]</span>一行は、群島から手を振るシェロを見つけ、よろず屋に届けられたという手紙を受け取る。その手紙の内容に、今度は<span class='scene-font-place'>バルツ公国</span>へと針路を取る。
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,はぁ……はぁ……<br>ったく……<br>なかなかやるじゃねぇか……
Japanese,"scene_cp4_q4_s30,443",detail,ルリア,もう、大丈夫です……<br>溢れていたティアマトの力は、<br>私が吸収しました……
Japanese,"scene_cp4_q4_s30,443",detail,ルリア,これでティアマトは、<br>自分を取り戻すはずです……
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,……ん？<br>ルリア、<br>その手に持っているものはなんだ？
Japanese,"scene_cp4_q4_s30,443",detail,ルリア,え？ あれ？<br>いつの間に……<br>なんだろう、これ……
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,こいつぁ……<span class='scene-font-spword'>空図の欠片</span>じゃねぇか！
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,前に[ジータ]の親父さんに<br>見せてもらったのと同じだ……<br>間違いねぇぜ！
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,これが<span class='scene-font-spword'>空図の欠片</span>……<br>これがあれば、<br>帝国の魔の手からルリアを……！
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,おっ！ 空が晴れてきたな！
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>雲の切れ間から差し込む光は、</span><br><span class='scene-font-katari'>天からの祝福のように、</span><br><span class='scene-font-katari'>グランサイファーを照らした。</span>
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,ふぅ……<br>これで一段落かな。<br>お疲れ様、[ジータ]
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,さて……それで？<br>お前らはどこに行きたいんだ？
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,お？ なんだよ、急に。<br>このまま、<br>連れてってくれるってのか？
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,まぁな……<br>やっぱり空は良いなぁ、って思ってよ。
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,お前らと一緒なら、<br>もう二度と<br>空を捨てずに済む気がするんだ。
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,それに、<br>グランサイファーも[ジータ]を、<br>気に入っちまったみてぇだしな。
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,こうなりゃ、この俺が責任もって、<br>どこへだって連れてってやるよ！！<br>それこそ空の果てまででもな！
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>ラカムの言葉に沸いた[ジータ]達は</span><br><span class='scene-font-katari'>遥かな空へと針路を向ける。</span>
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>街の上空を通りがかったその時、</span><br><span class='scene-font-katari'>[ジータ]は、</span><br><span class='scene-font-katari'>地上で手を振る小さな影を見つけた。</span>
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,んん？<br>ありゃあ、よろず屋じゃねぇか？
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,シェロが……？<br>あれ？ あいつ手に何か持ってるぜ？
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,何か用があるのかもしれない……<br>一度降りて、話を聞いてみよう。
Japanese,"scene_cp4_q4_s30,443",detail,シェロカルテ,――いや～<br>今回のことは本当に助かりました～
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,いや、私達も帝国の非道を、<br>見過ごすことはできなかったからな……
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,ところで、<br>先ほど手を振っていたのは、<br>何かあったのか？
Japanese,"scene_cp4_q4_s30,443",detail,シェロカルテ,そうそう～<br>[ジータ]さん宛てに<br>手紙を預かってたんですよ～
Japanese,"scene_cp4_q4_s30,443",detail,ルリア,お手紙？<br>[ジータ]の故郷からでしょうか……
Japanese,"scene_cp4_q4_s30,443",detail,シェロカルテ,いえ～<br>なんだか怪しい二人組が、<br>直接置いて行ったんです～
Japanese,"scene_cp4_q4_s30,443",detail,シェロカルテ,なんでも、<br>恩返しだとかって～
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,恩返しって……<br>それじゃ、<br>あいつらからの手紙か？
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,さぁなぁ……<br>とりあえず、開けてみようぜ！
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>その手紙の内容は、</span><br><span class='scene-font-katari'>これ以上ないほど簡潔だった。</span>
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,<span class='scene-font-gray'>『</span><span class='scene-font-place'>バルツ公国</span><span class='scene-font-gray'>へ行け』</span>か……<br>なんだこりゃ？
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,<span class='scene-font-place'>バルツ公国</span>か……<br>確か、この近くのドラフの島だな。<br>鉄鋼業で栄えていたはずだ。
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,恩返しってこたぁ、<br>手紙の内容は、オイラ達にとって、<br>プラスになるってことだよな？
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,ってことは、<br><span class='scene-font-place'>バルツ</span>に向かったほうがいいのか？
Japanese,"scene_cp4_q4_s30,443",detail,カタリナ,わからないな……<br>彼らをそこまで、<br>信用していいものか……
Japanese,"scene_cp4_q4_s30,443",detail,ルリア,あの人達のことはわからないけど……<br>でも、このお手紙、気になりませんか？
Japanese,"scene_cp4_q4_s30,443",detail,ビィ,そりゃぁ、こう書かれちゃなぁ……<br>[ジータ]も気になるだろ？
Japanese,"scene_cp4_q4_s30,443",detail,ラカム,なら決まりだな！<br>空の旅ってのは、<br>好奇心で針路を決めるもんだぜ！
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>手紙の言葉に、</span><br><span class='scene-font-katari'>[ジータ]達は、</span><br><span class='scene-font-place'>バルツ公国</span><span class='scene-font-katari'>へと舵を切る。</span>
Japanese,"scene_cp4_q4_s30,443",detail,,<span class='scene-font-katari'>そこでは、</span><br><span class='scene-font-katari'>空と星にまつわる更なる事件が、</span><br><span class='scene-font-katari'>[ジータ]を待ち受けるのだった。</span>
Japanese,"scene_cp4_q4_s30,443",detail,スツルム,――以上が……今回の顛末です。<br>手紙は指示どおりに、<br>よろず屋に託してまいりました。
Japanese,"scene_cp4_q4_s30,443",detail,？？？,ご苦労……<br>ドランク、それでフュリアスの容体は？
Japanese,"scene_cp4_q4_s30,443",detail,ドランク,問題ないみたいですねぇ～<br>いやぁ、魔晶ってすごいなぁ～！
Japanese,"scene_cp4_q4_s30,443",detail,？？？,当然だ……<br>無論、代償は伴うがな……
Japanese,"scene_cp4_q4_s30,443",detail,？？？,全ては順調に進んでいる。<br>計画が動き出した以上……<br>あとは時間の問題だ。
Japanese,"scene_cp4_q4_s30,443",detail,？？？,必ず……必ず取り返してみせる。<br>もうしばらくの辛抱だ……<br>待っていてくれ、オルキス……
